ZCTA,COUNTY,STATE,COUNTYFP
74881,Lincoln County,OK,40081
92801,Orange County,CA,06059
76374,Young County,TX,48503
76379,Archer County,TX,48009
74884,Seminole County,OK,40133
74902,Le Flore County,OK,40079
74930,Le Flore County,OK,40079
92808,Orange County,CA,06059
76384,Wilbarger County,TX,48487
92821,Orange County,CA,06059
74954,Sequoyah County,OK,40135
92861,Orange County,CA,06059
74957,Le Flore County,OK,40079
74959,Le Flore County,OK,40079
76435,Eastland County,TX,48133
76444,Comanche County,TX,48093
77038,Harris County,TX,48201
77048,Harris County,TX,48201
93638,Madera County,CA,06039
93608,Fresno County,CA,06019
77029,Harris County,TX,48201
93611,Fresno County,CA,06019
93612,Fresno County,CA,06019
77032,Harris County,TX,48201
77034,Harris County,TX,48201
93620,Merced County,CA,06047
93621,Fresno County,CA,06019
93622,Fresno County,CA,06019
93624,Fresno County,CA,06019
93625,Fresno County,CA,06019
77039,Harris County,TX,48201
93626,Madera County,CA,06039
93631,Tulare County,CA,06107
93634,Fresno County,CA,06019
93636,Madera County,CA,06039
77046,Harris County,TX,48201
93640,Fresno County,CA,06019
81222,Fremont County,CO,08043
75847,Houston County,TX,48225
75850,Leon County,TX,48289
81223,Fremont County,CO,08043
92227,Imperial County,CA,06025
72824,Yell County,AR,05149
72826,Logan County,AR,05083
72827,Yell County,AR,05149
75852,Madison County,TX,48313
75853,Anderson County,TX,48001
81227,Chaffee County,CO,08015
86020,Coconino County,AZ,04005
72830,Johnson County,AR,05071
71276,East Carroll Parish,LA,22035
92233,Imperial County,CA,06025
74108,Tulsa County,OK,40143
72840,Johnson County,AR,05071
74115,Tulsa County,OK,40143
71455,Natchitoches Parish,LA,22069
81637,Eagle County,CO,08037
81638,Moffat County,CO,08081
86327,Yavapai County,AZ,04025
74435,Sequoyah County,OK,40135
86329,Yavapai County,AZ,04025
86332,Yavapai County,AZ,04025
92338,San Bernardino County,CA,06071
71457,Natchitoches Parish,LA,22069
92339,San Bernardino County,CA,06071
71461,Vernon Parish,LA,22115
86334,Yavapai County,AZ,04025
81641,Rio Blanco County,CO,08103
74438,McIntosh County,OK,40091
71463,Allen Parish,LA,22003
81647,Garfield County,CO,08045
74446,Wagoner County,OK,40145
71473,Winn Parish,LA,22127
92346,San Bernardino County,CA,06071
